number,best,average,worst
5,4745,4455,4574
10,8207,8744,7703
15,11643,12198,12097
20,15394,15522,16832
25,19836,19938,20091
30,22939,23263,23518
35,28845,27655,27976
40,31748,31905,31307
45,35466,35648,34470
50,39468,41089,40873
55,44030,44256,43301
60,46854,47700,47623
65,51526,54071,52833
70,55914,58379,57228
75,61012,60822,62695
80,65119,66714,65404
85,66121,67043,67429
90,71859,72669,72906
95,74039,76852,78393
100,87464,83597,80357
