number,best,average,worst
5,20024,21251,20352
10,45172,46347,46973
15,82245,74550,80896
20,96663,99984,108929
25,123162,118392,121944
30,146298,149605,146868
35,172183,174518,174024
40,199305,214776,200605
45,225159,227101,224338
50,251660,255012,251481
55,276311,280796,276293
60,296623,300866,308754
65,318280,329938,322593
70,349526,360097,356253
75,376130,382631,378667
80,403256,406011,404539
85,429951,435819,421483
90,454229,458818,479176
95,482918,490664,502500
100,509553,525069,500920
